event_id,magnitude,magnitude_type,location_1_lat,location_1_lon,wfo,UTC_begin_time,UTC_end_time,delta_time_min,event_narrative,episode_narrative
974825,54.0,MG,44.02,-117.02,BOI,2021-06-23 01:50,2021-06-23 01:55,5.0,The ASOS at Ontario reported a 62 MPH thunderstorm wind gust.,Hot and dry conditions were ideal for thunderstorm microburst outflow propagation across Southeast Oregon and Southwest Idaho. Severe gusts were reported with reports of damage throughout the area.
963652,54.0,MG,47.96,-108.31,GGW,2021-06-05 01:00,2021-06-05 01:00,0.0,"The Malta South US-191 DOT site (MTMAL), recorded a 62 mph thunderstorm wind gust.",High temperatures more than 20 degrees above normal and a slowly approaching low pressure trough combined with a favorable atmosphere to develop a few severe thunderstorms during the evening hours.
974827,51.0,MG,43.57,-116.23,BOI,2021-06-23 01:58,2021-06-23 02:15,17.000000000000004,The ASOS at Boise reported a 59 MPH thunderstorm wind gust and numerous reports of wind damage were received from the public.,Hot and dry conditions were ideal for thunderstorm microburst outflow propagation across Southeast Oregon and Southwest Idaho. Severe gusts were reported with reports of damage throughout the area.
974828,61.0,MG,44.21,-116.27,BOI,2021-06-23 02:26,2021-06-23 02:45,19.0,Davis weather station at Jacobus Ranch.,Hot and dry conditions were ideal for thunderstorm microburst outflow propagation across Southeast Oregon and Southwest Idaho. Severe gusts were reported with reports of damage throughout the area.
974830,52.0,MG,44.33,-117.17,BOI,2021-06-23 02:52,2021-06-23 03:10,18.0,The Mesonet station at Catfish RAWS reported a thunderstorm wind gust of 62 MPH.,Hot and dry conditions were ideal for thunderstorm microburst outflow propagation across Southeast Oregon and Southwest Idaho. Severe gusts were reported with reports of damage throughout the area.
974831,54.0,MG,42.82,-115.29,BOI,2021-06-23 02:37,2021-06-23 02:55,18.0,The public reported a 62 MPH thunderstorm wind gust 9 miles south of Glenns Ferry using a Davis weather station.,Hot and dry conditions were ideal for thunderstorm microburst outflow propagation across Southeast Oregon and Southwest Idaho. Severe gusts were reported with reports of damage throughout the area.
963664,54.0,MG,47.5,-104.33,GGW,2021-06-06 02:15,2021-06-06 02:15,0.0,"The mesonet site near Crane (D8634), recorded a 62 mph thunderstorm wind gust.","Similar to the previous day, and shifted further toward the southeast, an approaching cold front combined with warm moist air and an unstable atmosphere to develop and sustain severe thunderstorms through some eastern Montana locations during the evening hours."
963665,63.0,MG,47.02,-104.33,GGW,2021-06-06 02:25,2021-06-06 02:25,0.0,"The Beaver Hill I-94 DOT site (MTBVR), recorded a 73 mph thunderstorm wind gust.","Similar to the previous day, and shifted further toward the southeast, an approaching cold front combined with warm moist air and an unstable atmosphere to develop and sustain severe thunderstorms through some eastern Montana locations during the evening hours."
963658,55.0,MG,48.43,-105.44,GGW,2021-06-05 03:46,2021-06-05 03:46,0.0,"The McDonalds MT-13 DOT site (MTMCD), recorded a 63 mph thunderstorm wind gust.",High temperatures more than 20 degrees above normal and a slowly approaching low pressure trough combined with a favorable atmosphere to develop a few severe thunderstorms during the evening hours.
963662,61.0,MG,47.03,-105.8,GGW,2021-06-06 01:08,2021-06-06 01:08,0.0,"The Big Sheep Mountain RAWS site (LCFM8), recorded a 70 mph thunderstorm wind gust.","Similar to the previous day, and shifted further toward the southeast, an approaching cold front combined with warm moist air and an unstable atmosphere to develop and sustain severe thunderstorms through some eastern Montana locations during the evening hours."
962761,61.0,MG,37.75,-102.6,PUB,2021-05-09 01:20,2021-05-09 01:23,3.0,Mesonet station Gobblers Knob.,"A surface front moved across southern Colorado during the evening on this day, helping to develop thunderstorms over parts of the plains. Some of this development did become severe, with damaging wind gusts of around 60 mph to 70 mph occurring across the far southeast plains."
962762,51.0,MG,37.28,-102.61,PUB,2021-05-09 01:39,2021-05-09 01:42,3.0,Nine miles south Springfield.,"A surface front moved across southern Colorado during the evening on this day, helping to develop thunderstorms over parts of the plains. Some of this development did become severe, with damaging wind gusts of around 60 mph to 70 mph occurring across the far southeast plains."
962763,52.0,MG,37.28,-102.61,PUB,2021-05-09 01:56,2021-05-09 01:59,3.0,,"A surface front moved across southern Colorado during the evening on this day, helping to develop thunderstorms over parts of the plains. Some of this development did become severe, with damaging wind gusts of around 60 mph to 70 mph occurring across the far southeast plains."
962764,56.0,MG,37.06,-102.63,PUB,2021-05-09 01:59,2021-05-09 02:02,3.0,,"A surface front moved across southern Colorado during the evening on this day, helping to develop thunderstorms over parts of the plains. Some of this development did become severe, with damaging wind gusts of around 60 mph to 70 mph occurring across the far southeast plains."
962765,52.0,MG,37.28,-102.61,PUB,2021-05-09 02:15,2021-05-09 02:18,3.0,,"A surface front moved across southern Colorado during the evening on this day, helping to develop thunderstorms over parts of the plains. Some of this development did become severe, with damaging wind gusts of around 60 mph to 70 mph occurring across the far southeast plains."
977206,50.0,MG,42.2,-72.53,BOX,2021-08-12 21:37,2021-08-12 21:37,0.0,The AWOS at Westover Air Force Base (KCEF) recorded a gust to 58 mph.,Excessive Heat Warnings were in effect across much of southern New England with temperatures well up into the 90s and dewpoints in the mid 70s.  Very high CAPE values led to the development of late afternoon and evening severe thunderstorms in portions of western and central Massachusetts and northern Connecticut.
977198,59.0,MG,42.16,-72.71,BOX,2021-08-12 21:27,2021-08-12 21:27,0.0,The ASOS at Westfield-Barned Airport (KBAF) recorded a wind gust to 68 mph.,Excessive Heat Warnings were in effect across much of southern New England with temperatures well up into the 90s and dewpoints in the mid 70s.  Very high CAPE values led to the development of late afternoon and evening severe thunderstorms in portions of western and central Massachusetts and northern Connecticut.
963381,50.0,MG,45.78,-111.15,TFX,2021-05-07 22:16,2021-05-07 22:16,0.0,KBZN measured a 50 kt (58 mph) thunderstorm wind gust.,"A vigorous Pacific trough and attendant cold front brought a round of convective precipitation to much of Central and Southwest MT on Friday May, 7, 2021. Mid- level lapse rates exceeded 7 degrees C/km during the afternoon as effective shear briefly approached 50 kts and precipitable water values peaked at around 7 tenths of an inch. These ingredients were enough for a brief period of thunderstorms with severe wind gusts in the Bozeman area."
977435,52.0,MG,42.92,-97.37,FSD,2021-07-06 17:56,2021-07-06 17:58,2.0000000000000004,,A short-duration bow echo evolved from thunderstorms which developed on the warm side of a stationary frontal boundary in the presence of weak shear and strong DCAPE.
977456,52.0,MG,43.33,-96.05,FSD,2021-07-06 00:40,2021-07-06 00:42,2.0000000000000004,,"Heat and humidity led to strong instability by afternoon, as a weak frontal boundary settled into southeast South Dakota. Strong instability but weak deep-layer shear resulted in brief, intense and generally outflow-dominant storms."
977459,71.0,MG,44.3689,-97.9759,FSD,2021-07-24 01:46,2021-07-24 01:48,2.0000000000000004,Thunderstorm wind gust was measured by South Dakota RWIS near Cavour.,An isolated thunderstorm within an environment with a well-defined inverted-V sounding produced a downburst wind gust.
990175,50.0,MG,41.559,-71.2171,BOX,2021-11-13 22:38,2021-11-13 22:38,0.0,"In Tiverton, a Weatherflow Mesonet station at Fogland Beach recorded a wind gust to 58 mph at 538 PM EST.","A fast-moving cold front combined with a potent short-wave trough lifting northeastward across western and northern New England to produce severe thunderstorms across southern New England.  Despite dewpoint temperatures only in the 30s and 40s, the cold pool aloft created instability and there was very strong low-level helicity.  The result was an unprecedented outbreak of tornadoes across Long Island, Connecticut, and Rhode Island."
979744,53.0,MG,40.35,-75.9,PHI,2021-09-09 02:55,2021-09-09 02:55,0.0,,"A cold front moved into the mid-Atlantic late on September 8. Widespread showers and thunderstorms developed in a warm and humid air mass ahead of the front, moving into eastern Pennsylvania during the evening and early overnight hours. With instability waning after dark, much of the convection remained sub-severe. However, some instances of damaging wind did occur, particularly along a bowing line segment in Berks County. Showers and storms continued to gradually weaken as they shifted east later in the night."
990191,61.0,MG,41.562,-70.5216,BOX,2021-11-13 23:13,2021-11-13 23:13,0.0,"In Falmouth, a Weatherflow mesonet station at Waquoit Bay recorded a wind gust to 70 mph at 613 PM EST.","A fast-moving cold front combined with a potent short-wave trough lifting northeastward across western and northern New England to produce severe thunderstorms across southern New England.  Despite dewpoint temperatures only in the 30s and 40s, the cold pool aloft created instability and there was very strong low-level helicity.  The result was an unprecedented outbreak of tornadoes across Long Island, Connecticut, and Rhode Island."
