,event_id,Time,Speed(MPH),Location,County,State,LAT,LON,Remarks
0,1,2023-05-25 14:10,UNK,3 N SAN ANGELO,TOM GREEN,TX,31.49,-100.44,POWER POLES DOWN ON BOWIE ST... BETWEEN E 26TH AND E 29TH ST. TIME ESTIMATED. (SJT)
1,2,2023-05-25 21:21,73,4 NW RYAN,PRESIDIO,TX,30.47,-104.35,MESONET STATION UP400 4.0 NW RYAN (UPR). (MAF)
2,3,2023-05-25 22:40,58,26 ENE CALLAO,TOOELE,UT,40.11,-113.31,MEASURED FROM DUGWAY PROVING GROUND DPG31 WEST GRANITE (SLC)
3,4,2023-05-25 23:10,60,5 ENE FORESTGROVE,FERGUS,MT,47.02,-108.98,ESTIMATED WIND GUSTS OF 50 TO 60 MPH. PEA SIZE HAIL FALLING. TREES HAD LEAF DAMAGE. (TFX)
4,5,2023-05-26 00:39,60,3 SSW HOLLISTER,TWIN FALLS,ID,42.32,-114.59,(BOI)
5,6,2023-05-26 02:42,61,7 E TUCUMCARI,QUAY,NM,35.18,-103.6,ASOS STATION KTCC TUCUMCARI MUNI AIRPORT. (ABQ)
6,7,2023-05-26 02:56,82,9 SE TUCUMCARI,QUAY,NM,35.08,-103.61,WIND GUST TO 81.5 MPH MEASURED ON CAR ROOF ANEMOMETER AT THIS LOCATION ON HIGHWAY 278 SOUTHEAST OF TUCUMCARI. OFF-DUTY NWS EMPLOYEE REPORT. (ABQ)
7,8,2023-05-26 03:00,75,7 E TUCUMCARI,QUAY,NM,35.18,-103.6,ASOS STATION KTCC TUCUMCARI MUNI AIRPORT. (ABQ)
8,9,2023-05-26 03:00,75,7 E TUCUMCARI,QUAY,NM,35.18,-103.6,CORRECTS PREVIOUS TSTM WND GST REPORT FROM 7 E TUCUMCARI. (ABQ)
9,10,2023-05-26 03:17,UNK,8 SE TUCUMCARI,QUAY,NM,35.1,-103.61,REPORT FROM MPING: 1-INCH TREE LIMBS BROKEN; SHINGLES BLOWN OFF. (ABQ)
10,11,2023-05-26 07:01,59,5 S BROADVIEW,CURRY,NM,34.75,-103.21,(ABQ)
11,12,2023-05-26 09:15,65,2 WNW TEXICO,CURRY,NM,34.4,-103.09,(ABQ)
12,13,2023-05-26 09:15,UNK,3 ENE CLOVIS,CURRY,NM,34.42,-103.16,MESONET STATION GW0819 CLOVIS. (ABQ)
13,14,2023-05-26 09:50,UNK,3 WNW LAYTON,GMZ032,FL,24.84,-80.86,A 57 KNOT... OR 65 MPH... WIND GUST FROM A DOWNBURST WAS RECORDED AT THE LONG KEY C-MAN STATION AT 5:50 AM EDT. (KEY)
