ID,Name,lon,lat
EET,Alabaster,-86.78,33.18
8A0,Albertville Muni,-86.25,34.22
ALX,Alexander/Russel,-85.97,32.92
79J,Andalusia/Opp Ar,-86.4,31.32
ANB,Anniston,-85.85,33.58
AUB,Auburn Univ. (Am,-85.5,32.6
AUO,Auburn Opelika A,-85.42,32.61
EKY,Bessemer,-86.92,33.32
BHM,Birmingham,-86.75,33.57
BMX,Brmnghm/Alabastr,-86.77,33.17
OZR,Ozark/Cairns Aaf,-85.72,31.28
0A8,Centreville Wsm,-87.08,32.93
9A4,Courtland,-87.35,34.67
3A1,Cullman/Folsom F,-86.85,34.27
CMD,Cullman/Folsom F,-86.85,34.27
DCU,Decatur,-86.95,34.65
DYA,Demopolis,-87.95,32.47
DHN,Dothan,-85.45,31.32
EDN,Enterprise,-85.9,31.3
EUF,Eufaula,-85.13,31.95
GZH,Evergreen,-87.05,31.42
CQF,Fairhope,-87.88,30.47
0J4,Florala Muni,-86.32,31.05
4A9,Ft Payne/Isbell,-85.72,34.47
EOX,Ft Rucker 88D,-85.47,31.47
SXS,Ft Rucker/Shell,-85.85,31.37
HEY,Ft Rucker/Hanche,-85.65,31.35
GAD,Gadsden Muni,-86.07,33.97
PRN,Greenville,-86.62,31.85
JKA,Gulf Shores,-87.67,30.28
1M4,Haleyville,-87.6,34.28
HSV,Huntsville,-86.78,34.65
MDQ,Huntsville/Madis,-86.55,34.86
HTX,Hytop/88D,-86.08,34.93
JFX,Jasper/Walker,-87.32,33.9
LOR,Lowe Ahp/Ft. Ruc,-85.75,31.35
A08,Marion,-87.38,32.52
MXX,Maxwell Afb 88D,-85.78,32.53
MXF,Maxwell Afb/Mgm,-86.37,32.36
BFM,Mobile/Brookley,-88.07,30.62
MOB,Mobile/Bates,-88.25,30.68
MGM,Montgomery,-86.4,32.29
MSL,Muscle Shoal,-87.6,34.75
PLR,Pell City,-86.25,33.57
RAM,Phi Oil Plat,-88.08,29.05
1A9,Prattville,-86.52,32.6
HUA,Redstone Arsenal,-86.68,34.68
4A6,Scottsboro,-86.0,34.68
SEM,Selma,-86.98,32.35
SJI,Semmnes Vor,-88.37,30.73
SCD,Sylacauga,-86.3,33.17
ASN,Talladega,-86.05,33.57
TOI,Troy,-86.02,31.85
TCL,Tuscaloosa,-87.62,33.22
VUZ,Vulcan Vor,-86.9,33.67
CKL,Centreville Wsm,-87.25,32.88
4R9,Dauphin Island,-88.13,30.27
4R4,Fairhope,-87.88,30.47
M82,Huntsville/Madis,-86.55,34.85
VOA,Viosca Knoll768,-87.78,29.23
ADF,Arkadelphia,-93.07,34.1
BVX,Batesville,-91.65,35.72
H00,Bentonville,-94.22,36.35
VBT,Bentonville,-94.22,36.35
XNA,Bentonville (Nw),-94.3,36.28
HKA,Blytheville,-89.83,35.93
BYH,Blytheville,-89.95,35.97
SUZ,Benton,-92.48333333333333,34.583333333333336
CDH,Camden,-92.77,33.61
CXW,Conway/Cantrell,-92.55,35.016666666666666
CCA,Clinton Muni,-92.45,35.6
4M9,Corning,-90.65,36.4
DEQ,De Queen,-94.4,34.04
DQU,Dequeen Profiler,-94.28,34.1
ELD,El Dorado,-92.82,33.22
FYV,Fayetteville,-94.17,36.02
FLP,Flippin (Awos),-92.58,36.28
FSM,Fort Smith,-94.37,35.33
SRX,Slatington Mtn.,-94.37,35.28
HRO,Harrison,-93.15,36.27
HOT,Hot Springs,-93.1,34.47
JBR,Jonesboro,-90.65,35.83
LIT,Little Rock,-92.23,34.72
LRF,Little Rock Afb,-92.15,34.92
MEZ,Mena Intermtn,-94.2,34.54
AWM,W Memphis Muni,-90.23,35.13
LLQ,Monticello,-91.75,33.63
MWT,Mount Ida,-93.58,34.54
BPK,Mountain Home,-92.47,36.36
LZK,N. Little Rock,-92.27,34.83
M19,Newport,-91.17,35.65
PBF,Pine Bluff/Gridr,-91.93,34.18
RZC,Razorback Vor,-94.12,36.25
ROG,Rogers,-94.08,36.36
RUE,Russellville,-93.1,35.25
SRC,Searcy,-91.73,35.22
SLG,Siloam Spring,-94.47,36.2
ASG,Springdale Muni,-94.12,36.17
SGT,Stuttgart,-91.57,34.6
TXK,Texarkana,-93.98,33.45
ARG,Walnut Ridge,-90.92,36.11
M89,Arkadelphia,-93.07,34.1
M39,Mena Intermtn,-94.2,34.54
PHX,Phoenix/Sky Hrbr,-112.02,33.43
TUS,Tucson,-110.95,32.13
A39,Maricopa,-111.92,32.98
BXK,Buckeye,-112.68,33.42
IFP,Bullhead City,-114.57,35.15
CGZ,Casa Granda,-111.77,32.95
IWA,Chandler/Mesa,-111.65,33.29
CHD,Chandler,-111.82,33.27
FSX,Coconino/Flagstf,-111.2,34.57
AZC,Colorado City,-113.02,36.97
P08,Coolidge Muni,-111.43,32.93
DMA,Davis/Tucson,-110.87,32.17
DUG,Douglas Bisbee,-109.58,31.47
FLG,Flagstaff,-111.67,35.13
FGZ,Flagstaff/Bellem,-111.82,35.22
FHU,Fort Huachuca,-110.35,31.58
GXF,Gila Bend (Aaf),-112.72,32.86
GEU,Glendale,-112.3,33.53
LGF,Yuma Proving Gro,-114.4,32.86666666666667
LUF,Luke Afb/Glendal,-112.37,33.52
GYR,Goodyear Municip,-112.37,33.42
GCN,Grand Canyon,-112.15,35.95
40G,Grand Canyon/Val,-112.15,35.63
IGM,Kingman,-113.93,35.25
HII,Lake Havasu City,-114.37,34.57
FFZ,Mesa/Falcon Fld,-111.72,33.47
OLS,Nogales,-110.85,31.42
PGA,Page,-111.45,36.92
PAN,Payson,-111.33,34.25
PGS,Peach Spring,-113.53,35.61
DVT,Phoenix/Deer Vly,-112.07,33.68
PSR,Phoenix/Wfo,-112.02,33.43
EMX,Pima County/88D,-110.63,31.9
ALK,Pioneer Airfield,-110.43,31.6
PRC,Prescott,-112.42,34.65
DRK,Prescott(Vor),-112.48,34.7
SAD,Safford,-109.63,32.85
SSO,San Simon,-109.25,32.27
