,WBAN #,STATION ID,STATION NAME,"LAT N/ LONG W (deg,min,sec)",ELEV (ft),TOWER HEIGHT (m),lat,lon,lat_deg,lon_deg
0,14929,KABR,"Aberdeen, SD",452721 / 0982447,1302,20,452721,0982447,45.45583333333334,-98.41305555555556
1,54766,KENX,"Albany, NY",423511 / 0740350,1826,20,423511,0740350,42.58638888888889,-74.06388888888888
2,3019,KABX,"Albuquerque, NM",350859 / 1064926,5870,20,350859,1064926,35.14972222222222,-106.82388888888889
3,3981,KFDR,"Altus AFB, OK",342144 / 0985835,1267,10,342144,0985835,34.36222222222222,-98.97638888888889
4,23047,KAMA,"Amarillo, TX",351400 / 1014233,3587,20,351400,1014233,35.233333333333334,-101.70916666666668
5,26548,PAHG,"Anchorage, AK",604333 / 1512105,242,30,604333,1512105,60.725833333333334,-151.3513888888889
6,41417,PGUA,"Anderson AFB, GU",132709 / 1444841E,264,30,132709, 1444841,13.452499999999999,-144.8113888888889
7,53819,KFFC,"Atlanta, GA",332149 / 0843357,858,30,332149,0843357,33.36361111111111,-84.56583333333333
8,12971,KEWX,"Austin/San Antonio, TX",294214 / 0980142,633,20,294214,0980142,29.703888888888887,-98.02833333333334
9,93240,KBBX,"Beale AFB, CA",392946 / 1213754,167,10,392946,1213754,39.49611111111111,-121.63166666666666
10,PENDING,PABC,"Bethel, AK",604731 / 1615235,162,5,604731,1615235,60.79194444444444,-161.8763888888889
11,94096,KBLX,"Billings, MT",455114 / 1083624,3598,10,455114,1083624,45.85388888888889,-108.60666666666665
12,4725,KBGM,"Binghamton, NY",421159 / 0755905,1606,20,421159,0755905,42.19972222222222,-75.98472222222222
13,53823,KBMX,"Birmingham, AL",331020 / 0864611,645,30,331020,0864611,33.17222222222222,-86.76972222222223
14,24011,KBIS,"Bismarck, ND",464615 / 1004538,1658,20,464615,1004538,46.770833333333336,-100.76055555555556
15,4101,KCBX,"Boise, ID",432926 / 1161408,3061,20,432926,1161408,43.49055555555556,-116.23555555555555
16,54765,KBOX,"Boston, MA",415721 / 0710813,118,30,415721,0710813,41.95583333333334,-71.13694444444445
17,12919,KBRO,"Brownsville, TX",255458 / 0972508,23,10,255458,0972508,25.91611111111111,-97.41888888888889
18,14733,KBUF,"Buffalo, NY",425656 / 0784412,693,20,425656,0784412,42.94888888888889,-78.73666666666666
19,54774,KCXX,"Burlington, VT",443040 / 0731001,317,30,443040,0731001,44.51111111111111,-73.16694444444445
20,43216,RKSG,"Camp Humphreys, Korea",365721 / 1270116E,52,20,365721, 1270116,36.95583333333334,-127.02111111111111
21,3022,KFDX,"Cannon AFB, NM",343807 / 1033748,4650,10,343807,1033748,34.63527777777778,-103.63
22,PENDING,KICX,"Cedar City, UT",373527 / 1125144,10600,30,373527,1125144,37.590833333333336,-112.86222222222221
23,53845,KCLX,"Charleston, SC",323920 / 0810232,97,30,323920,0810232,32.65555555555555,-81.04222222222222
24,53834,KRLX,"Charleston, WV",381840 / 0814323,1080,30,381840,0814323,38.31111111111111,-81.72305555555556
25,24018,KCYS,"Cheyenne, WY",410907 / 1044822,6128,10,410907,1044822,41.151944444444446,-104.80611111111111
26,4831,KLOT,"Chicago, IL",413617 / 0880505,663,20,413617,0880505,41.60472222222222,-88.08472222222221
27,13841,KILN,"Cincinnati, OH",392513 / 0834918,1056,30,392513,0834918,39.42027777777778,-83.82166666666666
28,14820,KCLE,"Cleveland, OH",412447 / 0815135,763,20,412447,0815135,41.41305555555555,-81.85972222222222
29,13883,KCAE,"Columbia, SC",335655 / 0810706,231,30,335655,0810706,33.948611111111106,-81.11833333333333
30,53837,KGWX,"Columbus AFB, MS",335348 / 0881944,476,20,335348,0881944,33.89666666666667,-88.32888888888888
31,12924,KCRP,"Corpus Christi, TX",274703 / 0973040,45,20,274703,0973040,27.784166666666668,-97.5111111111111
32,3985,KFWS,"Dallas/Ft. Worth, TX",323423 / 0971811,683,20,323423,0971811,32.573055555555555,-97.30305555555556
33,94982,KDVN,"Davenport, IA",413642 / 0903451,754,20,413642,0903451,41.611666666666665,-90.58083333333333
34,3018,KFTG,"Denver, CO",394712 / 1043245,5497,30,394712,1043245,39.78666666666666,-104.54583333333333
35,94984,KDMX,"Des Moines, IA",414352 / 0934322,981,30,414352,0934322,41.73111111111111,-93.72277777777778
36,4830,KDTX,"Detroit, MI",424159 / 0832818,1072,30,424159,0832818,42.69972222222222,-83.47166666666666
37,13985,KDDC,"Dodge City, KS",374539 / 0995808,2590,20,374539,0995808,37.76083333333333,-99.96888888888888
38,93770,KDOX,"Dover AFB, DE",384932 / 0752623,50,30,384932,0752623,38.82555555555556,-75.43972222222223
39,14913,KDLH,"Duluth, MN",465013 / 0921235,1428,30,465013,0921235,46.83694444444445,-92.20972222222223
40,3987,KDYX,"Dyess AFB, TX",323218 / 0991516,1517,10,323218,0991516,32.538333333333334,-99.25444444444445
41,53114,KEYX,"Edwards AFB, CA",350552 / 1173339,2757,20,350552,1173339,35.09777777777778,-117.56083333333333
42,53825,KEVX,"Eglin AFB, FL",303352 / 0855517,140,20,303352,0855517,30.564444444444444,-85.9213888888889
43,3020,KEPZ,"El Paso, TX",315223 / 1064153,4104,30,315223,1064153,31.873055555555556,-106.69805555555556
44,4108,KLRX,"Elko, NV",404423 / 1164810,6744,30,404423,1164810,40.73972222222222,-116.80277777777778
45,94289,KBHX,"Eureka, CA",402954 / 1241731,2402,30,402954,1241731,40.498333333333335,-124.29194444444444
46,24690,PAPD,"Fairbanks, AK",650206 / 1473006,2593,30,650206,1473006,65.035,-147.50166666666667
47,53113,KFSX,"Flagstaff, AZ",343428 / 1111152,7417,20,343428,1111152,34.574444444444445,-111.19777777777779
48,53839,KHPX,"Fort Campbell, KY",364412 / 0871706,576,10,364412,0871706,36.736666666666665,-87.285
49,3992,KGRK,"Fort Hood, TX",304319 / 0972259,538,10,304319,0972259,30.721944444444443,-97.38305555555554
50,3993,KPOE,"Fort Polk, LA",310920 / 0925833,408,10,310920,0925833,31.155555555555555,-92.97583333333334
51,53851,KEOX,"Fort Rucker, AL",312738 / 0852734,434,10,312738,0852734,31.460555555555555,-85.45944444444444
52,PENDING,KSRX,"Fort Smith, AR",351726 / 0942142,640,20,351726,0942142,35.29055555555556,-94.36166666666666
53,PENDING,KIWX,"Fort Wayne, IN",412132 / 0854200,960,25,412132,0854200,41.35888888888889,-85.7
54,4837,KAPX,"Gaylord, MI",445426 / 0844311,1464,20,445426,0844311,44.907222222222224,-84.71972222222223
55,94008,KGGW,"Glasgow, MT",481223 / 1063730,2276,20,481223,1063730,48.20638888888889,-106.625
56,23065,KGLD,"Goodland, KS",392201 / 1014201,3651,10,392201,1014201,39.36694444444444,-101.70027777777779
57,94986,KMVX,"Grand Forks, ND",473140 / 0971932,986,20,473140,0971932,47.52777777777778,-97.32555555555555
58,3025,KGJX,"Grand Junction, Co",390344 / 1081250,9991,10,390344,1081250,39.06222222222222,-108.21388888888889
59,94860,KGRR,"Grand Rapids, MI",425338 / 0853241,778,20,425338,0853241,42.89388888888889,-85.54472222222222
60,4102,KTFX,"Great Falls, MT",472735 / 1112307,3714,10,472735,1112307,47.459722222222226,-111.38527777777779
61,14898,KGRB,"Green Bay, WI",442954 / 0880641,682,30,442954,0880641,44.498333333333335,-88.11138888888888
62,3870,KGSP,"Greer, SC",345300 / 0821312,940,30,345300,0821312,34.88333333333333,-82.22
63,54763,KRMX,"Griffiss AFB, NY",432804 / 0752728,1516,30,432804,0752728,43.467777777777776,-75.45777777777778
64,94981,KUEX,"Hastings, NE",401915 / 0982631,1976,20,401915,0982631,40.32083333333334,-98.44194444444445
65,3023,KHDX,"Holloman AFB, NM",330435 / 1060722,4222,10,330435,1060722,33.07638888888889,-106.12277777777777
66,94625,KCBW,"Houlton, ME",460221 / 0674823,746,30,460221,0674823,46.03916666666667,-67.80638888888889
67,3980,KHGX,"Houston/Galveston, TX",292819 / 0950445,18,20,292819,0950445,29.471944444444443,-95.07916666666667
68,PENDING,KHTX,"Huntsville, AL",345550 / 0860500,1760,15,345550,0860500,34.93055555555555,-86.08333333333333
