event_id,beginUTC,magnitude,magnitude_type,event_narrative,episode_narrative,location_1_lat,location_1_lon
250206,9/13/2010 22:25,66,MS,A spotter with an anemometer measured a thunderstorm wind gust of 76 mph a little west of Ashland.  The winds caused major damage to at least one roof in or near Ashland with numerous large tree limbs and a few trees downed from southwest of town into town.  The fallen trees damaged several houses and vehicles in the area.,"Thunderstorms developed by mid afternoon on Sept. 13 along and north of a warm front that had moved into east central Nebraska.  The air mass south of the boundary was moderately unstable with temperatures in the mid to upper 80s and dew point temperatures around 70.  Additional thunderstorms developed in this unstable air mass south of the front, several of which were supercells.  One supercell, the right-mover of a storm that split in Jefferson county produced a brief tornado southwest of Fairbury.  Meanwhile, another supercell produced a swath of wind damage as it tracked south-southeast from around Wahoo into the southeast corner of Nebraska.  Especially hard hit from that particular storm was the area from southeast Saunders county into Cass and Otoe counties where winds were estimated by an assessment team from the NWS at 60 to 80 mph.  Several semi-trucks were blown off of Interstate 80 in this area and almost 3,000 customers lost power due to significant damage to trees, power poles/lines, houses and other structures in that region.  The Nebraska Emergency Management Agency estimated that preliminary estimates of damage to public infrastructure totaled more than $2.7 million from the storms and 7 counties applied for federal disaster aid.",41.0279,-96.4509
223352,6/4/2010 6:16,50,MG,nan,"A line of thunderstorms crossed the Tanana area late on the evening of the 3rd.  A wind gust to 58 mph was observed at the Tanana ASOS at 2116AKST.  The high winds associated with the thunderstorm produced wind damage.  A total of 22 trees, some with a trunk diameter over 2 feet were blown over.  One residential powerline fell, with associated cable TV lines.  A roof was blown off of a shed as well as a small smokehouse.  Numerous boats along the Yukon River were blown up on the shore, and some of them had minor damage.",65.18,-152.12
247732,6/23/2010 19:18,38,MG,The buoy SJNP4 in the San Juan harbor recorded a 38 knots or 44 mph wind gust. Broadcast media reported a tree downed on a vehicle on Baldorioty Ave at 301 pm. Another gust that reached 31 knots or 36 mph was recorded by this same buoy at 330 pm.,A strong tropical wave that was located near the Windward Passage helped to  spread showers across Puerto Rico while a second tropical wave was moving south of the island.,18.4589,-66.1164
248193,7/1/2010 21:07,40,MG,The Cape Air observer on duty at the Mayaguez Eugenio Maria de Hostos airport indicated he had measured winds of around 44 mph.,"During the late afternoon of Thursday, July 1, 2010, the National Weather Service Forecast Office received reports of very strong winds that were observed at the Mayagüez airport. These strong winds caused considerable damage to approximately nine portable tents that had been installed at the airport, as part of the medical support for the Mayagüez 2010 Central American Games. The Cape Air observer on duty called the National Weather Service (NWS) Office, indicating that he had measured winds of around 40 knots (44 mph), and a sudden gust of 72 knots (80 mph), but that no funnel cloud, tornado, or hail was observed at the time. Based on a visual NWS survey, the area that suffered the most significant damage was located at the airport and its vicinity with the following damage noted:The tents were blown off and pushed against the airport fence, causing damage to the fence. A metal railing attached to the ground and to a walk concrete way was lifted. One airport customer facility sliding doors were taken off their tracks. An aircraft that was not tied down and whose tail was unlocked, was turned sideways under the wind gusts. Many trees around the airport had snapped branches, indicative of a wind gust of 50 to 60 mph. Given the reports from the field, this wind event could be classified as a wet mini-microburst. The damage surveyed was indicative of straight line winds, and limited to the general airport area.",18.2541,-67.151
250240,7/17/2010 17:14,42,MG,The Cabo Rojo RAWS station at the National Wildlife Refuge recorded a sustained wind of 29 mph with a gust to 48 mph from the east southeast at 1:14 pm and 1:43 pm. Several wind gusts between 42-45 mph were recorded between 2:34-3:43 pm. A downed tree was reported by emergency along road 308 in Cabo Rojo.,"During the early afternoon of Saturday July 17, a squall line affected the grounds of the Olympic Stadium in the City of Mayaguez, where the Opening Ceremony for the the Mayaguez 2010 Central American Games was to be held later during the afternoon. The squall line reached the city of Mayaguez,  producing strong gusty winds that  downed a scaffold equipped with lighting equipment at the Isidoro Garcia Park, near the Mayaguez coast. Several persons were injured and some vehicles were damaged as the platform fell to the ground. Downed trees and power lines were reported in several municipalities of western Puerto Rico. Officials were forced to delay the Opening Ceremony.The NOS-NWLON sensor at the Penuelas-Guayanilla Bay reported a wind gust to 53 mph at 12:17 pm as the squall line moved through. The Cabo Rojo National Wildlife Refuge sensor recorded at wind gust to 48 mph at 1:14 pm. Data from the Puerto Rico Electric Power Company (PREPA) wind sensor at El Mani site near the Mayaguez airport, indicated wind gusts of around 33 mph at 1230 pm, 36 mph at 1245 pm, and 30 mph at 1:00 pm. The PREPA net highest wind gust was recorded at La Parguera sensor in Lajas where a 46 mph gust was recorded around 12 noon. Other locations in Puerto Rico recorded wind gusts that varied from 35-45 mph. Initial local and national media reports attributed this wind event to a tornado or a waterspout that had moved inland. However, most of the evidence indicates that it was an outflow boundary that propagated from the east southeast to the west northwest.",17.9715,-67.1684
253210,7/17/2010 16:17,46,MG,"The Penuelas Guayanilla NOS NWLON weather sensor recorded sustained winds of 41 mph with gusts to 53 mph from the south at 12:17 PM, as a squall line moved west northwest. Sustained winds from 33-38 mph with gusts between 38-47 mph were recorded between 12:27 -13:08 AST from the south and south southeast.","During the early afternoon of Saturday July 17, a squall line affected the grounds of the Olympic Stadium in the City of Mayaguez, where the Opening Ceremony for the the Mayaguez 2010 Central American Games was to be held later during the afternoon. The squall line reached the city of Mayaguez,  producing strong gusty winds that  downed a scaffold equipped with lighting equipment at the Isidoro Garcia Park, near the Mayaguez coast. Several persons were injured and some vehicles were damaged as the platform fell to the ground. Downed trees and power lines were reported in several municipalities of western Puerto Rico. Officials were forced to delay the Opening Ceremony.The NOS-NWLON sensor at the Penuelas-Guayanilla Bay reported a wind gust to 53 mph at 12:17 pm as the squall line moved through. The Cabo Rojo National Wildlife Refuge sensor recorded at wind gust to 48 mph at 1:14 pm. Data from the Puerto Rico Electric Power Company (PREPA) wind sensor at El Mani site near the Mayaguez airport, indicated wind gusts of around 33 mph at 1230 pm, 36 mph at 1245 pm, and 30 mph at 1:00 pm. The PREPA net highest wind gust was recorded at La Parguera sensor in Lajas where a 46 mph gust was recorded around 12 noon. Other locations in Puerto Rico recorded wind gusts that varied from 35-45 mph. Initial local and national media reports attributed this wind event to a tornado or a waterspout that had moved inland. However, most of the evidence indicates that it was an outflow boundary that propagated from the east southeast to the west northwest.",17.9721,-66.7617
249803,8/13/2010 9:30,42,MG,"Despite only measuring a 48 mph gust, several 9 inch diameter trees were blown down, one of which blocked County Road 77.  Also, some roofing material was blown off a house.","A very strong line of thunderstorms moved through southeast Minnesota during the early morning hours of August 13th.  Strong winds blew down trees and some significant structural damage, while widespread heavy rain amounts of 3 to 4 inches caused some flash flooding, road closures, and rises along rivers, streams and creeks.",44.4,-92.1003
226163,6/18/2010 1:00,48,MG,nan,Heat and humidity combined to touch off isolated severe storms on the afternoon and evening of the 17th and again on the 20th.,34.6,-91.57
220090,5/1/2010 4:35,50,MG,A wind gust of 58 mph was measured at a television station in Cape Girardeau. Trees were down in the Jackson and Gordonville areas.,Thunderstorms developed ahead of an eastward moving cold front over the Ozarks. Strengthening mid-level winds ahead of a strong shortwave trough over the central Plains aided storm development. Moderate instability combined with strong effective bulk shear around 50 knots provided very favorable conditions for supercells as the storms spread northeastward.,37.3,-89.53
232430,7/4/2010 1:32,50,MG,nan,"A cluster of severe thunderstorms moved northeastward from western Nebraska across south central South Dakota. Large hail and strong winds accompanied the storms over southeastern Bennett, Todd, and Tripp Counties. Trees were downed throughout the area; with some damage to homes, buildings, and personal property.",43.3905,-99.8418
250231,9/14/2010 0:35,50,MG,Thunderstorm wind gusts were measured at 58 mph by Asos at the Falls City airport at 743pm CDT.  Winds were estimated at close to 65 mph in town which downed numerous tree limbs.   Pea-size hail and over 3 inches of rain in an hour was also reported.  The storm total in the Fall City area this evening was over 3 inches.,"Thunderstorms developed by mid afternoon on Sept. 13 along and north of a warm front that had moved into east central Nebraska.  The air mass south of the boundary was moderately unstable with temperatures in the mid to upper 80s and dew point temperatures around 70.  Additional thunderstorms developed in this unstable air mass south of the front, several of which were supercells.  One supercell, the right-mover of a storm that split in Jefferson county produced a brief tornado southwest of Fairbury.  Meanwhile, another supercell produced a swath of wind damage as it tracked south-southeast from around Wahoo into the southeast corner of Nebraska.  Especially hard hit from that particular storm was the area from southeast Saunders county into Cass and Otoe counties where winds were estimated by an assessment team from the NWS at 60 to 80 mph.  Several semi-trucks were blown off of Interstate 80 in this area and almost 3,000 customers lost power due to significant damage to trees, power poles/lines, houses and other structures in that region.  The Nebraska Emergency Management Agency estimated that preliminary estimates of damage to public infrastructure totaled more than $2.7 million from the storms and 7 counties applied for federal disaster aid.",40.0777,-95.5908
232350,5/25/2010 20:35,50,MG,Winds gusted to 50 knots for 7 minutes at Rockford Airport.,Strong to severe thunderstorms moved across parts of northern Illinois during the afternoon hours of May 25th producing strong winds and heavy rain.,42.2,-89.1
